ST,MO,NO
TX,11,45072
TX,12,46419
UT,1,9343
UT,2,8593
UT,3,10273
UT,4,9372
UT,5,9702
UT,6,9950
UT,7,10272
UT,8,10477
UT,9,9310
UT,10,9677
UT,11,8995
UT,12,9425
VA,1,11163
VA,2,10246
VA,3,11952
VA,4,11967
VA,5,12563
VA,6,12458
VA,7,12646
VA,8,13009
VA,9,11768
VA,10,12375
VA,11,11468
VA,12,11426
VI,1,607
VI,2,550
VI,3,627
VI,4,577
VI,5,485
VI,6,511
VI,7,554
VI,8,461
VI,9,291
VI,10,184
VI,11,179
VI,12,226
VT,1,283
VT,2,261
VT,3,264
VT,4,307
VT,5,253
VT,6,303
VT,7,305
VT,8,296
VT,9,306
VT,10,319
VT,11,176
VT,12,200
WA,1,11341
WA,2,10314
WA,3,11885
WA,4,11734
WA,5,12704
WA,6,13831
WA,7,14829
WA,8,15080
WA,9,13521
WA,10,13358
WA,11,12400
WA,12,12373
WI,1,3891
WI,2,3661
WI,3,4718
WI,4,4590
WI,5,4540
WI,6,4588
WI,7,4755
WI,8,4763
WI,9,3872
WI,10,4036
WI,11,3887
WI,12,3578
WV,1,191
WV,2,178
WV,3,204
WV,4,193
WV,5,236
WV,6,216
WV,7,125
WV,8,143
WV,9,91
WV,10,112
WV,11,188
WV,12,248
WY,1,668
WY,2,604
WY,3,686
WY,4,413
WY,5,477
WY,6,735
WY,7,935
WY,8,908
WY,9,682
WY,10,498
WY,11,398
WY,12,545
