ARR_DELAY_NEW (min),DEP_DELAY_NEW (min),AIR_TIME (min),DISTANCE (miles),CARRIER_DELAY (min),NAS_DELAY (min),LATE_AIRCRAFT_DELAY (min),ORIGIN_STATE_ABR
67.0,69.0,60.0,369.0,6.0,0.0,61.0,CA
29.0,31.0,67.0,480.0,4.0,0.0,25.0,CA
5.0,0.0,221.0,1846.0,0.0,0.0,0.0,CA
0.0,2.0,141.0,972.0,0.0,0.0,0.0,IL
0.0,10.0,61.0,372.0,0.0,0.0,0.0,CA
7.0,13.0,95.0,616.0,0.0,0.0,0.0,FL
28.0,20.0,118.0,954.0,0.0,28.0,0.0,WA
26.0,30.0,93.0,674.0,0.0,0.0,26.0,FL
0.0,10.0,177.0,1303.0,0.0,0.0,0.0,PA
9.0,0.0,91.0,602.0,0.0,0.0,0.0,CO
6.0,8.0,132.0,931.0,0.0,0.0,0.0,MN
19.0,6.0,317.0,2586.0,0.0,19.0,0.0,CA
18.0,3.0,351.0,2846.0,0.0,18.0,0.0,AK
4.0,8.0,240.0,1947.0,0.0,0.0,0.0,GA
54.0,55.0,158.0,1185.0,24.0,30.0,0.0,FL
4.0,0.0,53.0,321.0,0.0,0.0,0.0,GA
0.0,7.0,74.0,550.0,0.0,0.0,0.0,CA
15.0,0.0,75.0,512.0,0.0,15.0,0.0,ID
88.0,88.0,131.0,1067.0,10.0,0.0,78.0,NV
39.0,25.0,92.0,646.0,0.0,14.0,25.0,AZ
6.0,0.0,124.0,861.0,0.0,0.0,0.0,AK
25.0,32.0,63.0,468.0,25.0,0.0,0.0,IL
13.0,3.0,96.0,501.0,0.0,0.0,0.0,CA
2.0,17.0,61.0,405.0,0.0,0.0,0.0,IL
62.0,22.0,141.0,762.0,11.0,40.0,11.0,NY
3.0,22.0,83.0,541.0,0.0,0.0,0.0,NY
6.0,0.0,56.0,240.0,0.0,0.0,0.0,OH
94.0,103.0,119.0,967.0,1.0,25.0,68.0,CA
0.0,20.0,305.0,2504.0,0.0,0.0,0.0,CA
4.0,0.0,43.0,214.0,0.0,0.0,0.0,VA
43.0,45.0,55.0,337.0,10.0,0.0,33.0,CA
8.0,13.0,295.0,2282.0,0.0,0.0,0.0,NC
3.0,23.0,38.0,224.0,0.0,0.0,0.0,TX
10.0,0.0,53.0,212.0,0.0,0.0,0.0,VA
13.0,0.0,82.0,502.0,0.0,0.0,0.0,MI
0.0,7.0,68.0,446.0,0.0,0.0,0.0,CA
5.0,2.0,113.0,787.0,0.0,0.0,0.0,MD
36.0,25.0,159.0,1199.0,0.0,11.0,25.0,CO
5.0,6.0,156.0,1205.0,0.0,0.0,0.0,TX
13.0,16.0,34.0,216.0,0.0,0.0,0.0,HI
0.0,2.0,46.0,316.0,0.0,0.0,0.0,IL
3.0,0.0,40.0,229.0,0.0,0.0,0.0,TX
0.0,5.0,128.0,1042.0,0.0,0.0,0.0,TX
33.0,52.0,102.0,737.0,33.0,0.0,0.0,CO
28.0,5.0,83.0,632.0,5.0,23.0,0.0,MI
14.0,16.0,47.0,226.0,0.0,0.0,0.0,CA
2.0,0.0,96.0,594.0,0.0,0.0,0.0,MI
6.0,0.0,350.0,2677.0,0.0,0.0,0.0,WA
3.0,7.0,53.0,345.0,0.0,0.0,0.0,NV
6.0,27.0,94.0,679.0,0.0,0.0,0.0,CA
2.0,0.0,122.0,954.0,0.0,0.0,0.0,CA
21.0,11.0,310.0,2422.0,11.0,10.0,0.0,WA
12.0,0.0,44.0,236.0,0.0,0.0,0.0,NV
39.0,0.0,96.0,666.0,0.0,39.0,0.0,PA
4.0,0.0,204.0,1788.0,0.0,0.0,0.0,AZ
6.0,11.0,67.0,460.0,0.0,0.0,0.0,TX
7.0,0.0,297.0,2349.0,0.0,0.0,0.0,HI
0.0,4.0,104.0,759.0,0.0,0.0,0.0,FL
0.0,1.0,260.0,1927.0,0.0,0.0,0.0,MI
18.0,13.0,99.0,594.0,0.0,5.0,0.0,MI
24.0,0.0,133.0,1046.0,0.0,24.0,0.0,PR
8.0,8.0,36.0,216.0,0.0,0.0,0.0,HI
41.0,40.0,42.0,224.0,0.0,10.0,31.0,WA
43.0,46.0,105.0,692.0,30.0,0.0,13.0,GA
2.0,0.0,137.0,966.0,0.0,0.0,0.0,PA
1.0,3.0,59.0,390.0,0.0,0.0,0.0,CA
15.0,6.0,81.0,472.0,0.0,9.0,6.0,MD
53.0,61.0,61.0,376.0,0.0,0.0,53.0,MS
36.0,2.0,180.0,1075.0,0.0,34.0,2.0,MI
6.0,0.0,223.0,1605.0,0.0,0.0,0.0,NJ
8.0,0.0,138.0,1045.0,0.0,0.0,0.0,PR
0.0,4.0,83.0,641.0,0.0,0.0,0.0,TX
0.0,10.0,111.0,779.0,0.0,0.0,0.0,IL
0.0,6.0,29.0,109.0,0.0,0.0,0.0,CA
18.0,27.0,156.0,1235.0,0.0,18.0,0.0,TX
23.0,22.0,131.0,1009.0,0.0,1.0,22.0,AZ
8.0,0.0,70.0,480.0,0.0,0.0,0.0,CA
39.0,22.0,84.0,406.0,8.0,17.0,14.0,FL
0.0,1.0,202.0,1660.0,0.0,0.0,0.0,WA
0.0,2.0,92.0,726.0,0.0,0.0,0.0,CA
40.0,39.0,21.0,100.0,16.0,0.0,24.0,HI
0.0,1.0,261.0,2092.0,0.0,0.0,0.0,GA
47.0,55.0,133.0,1005.0,47.0,0.0,0.0,FL
24.0,1.0,43.0,187.0,1.0,23.0,0.0,NY
28.0,10.0,191.0,1464.0,10.0,18.0,0.0,CA
7.0,0.0,310.0,2345.0,0.0,0.0,0.0,AK
0.0,5.0,159.0,1250.0,0.0,0.0,0.0,UT
11.0,15.0,76.0,546.0,0.0,0.0,0.0,WA
32.0,0.0,55.0,337.0,32.0,0.0,0.0,CA
12.0,0.0,68.0,441.0,0.0,0.0,0.0,TX
0.0,8.0,237.0,1947.0,0.0,0.0,0.0,CA
17.0,0.0,173.0,986.0,0.0,17.0,0.0,OH
4.0,11.0,61.0,446.0,0.0,0.0,0.0,CA
14.0,0.0,153.0,1089.0,0.0,0.0,0.0,NY
103.0,111.0,130.0,867.0,0.0,6.0,97.0,MA
64.0,73.0,62.0,404.0,0.0,64.0,0.0,GA
16.0,17.0,168.0,1235.0,16.0,0.0,0.0,CA
40.0,34.0,155.0,1121.0,10.0,6.0,24.0,MA
0.0,1.0,230.0,1990.0,0.0,0.0,0.0,UT
9.0,29.0,128.0,950.0,0.0,0.0,0.0,NY
6.0,2.0,29.0,130.0,0.0,0.0,0.0,NC
85.0,92.0,54.0,358.0,2.0,0.0,83.0,CA
42.0,51.0,50.0,311.0,0.0,0.0,42.0,WI
14.0,9.0,83.0,604.0,0.0,0.0,0.0,LA
7.0,0.0,125.0,867.0,0.0,0.0,0.0,NV
97.0,92.0,109.0,793.0,0.0,5.0,92.0,TN
67.0,59.0,93.0,715.0,0.0,8.0,59.0,CA
0.0,2.0,172.0,1524.0,0.0,0.0,0.0,NV
33.0,47.0,79.0,628.0,2.0,0.0,31.0,CA
3.0,0.0,35.0,216.0,0.0,0.0,0.0,HI
0.0,6.0,124.0,994.0,0.0,0.0,0.0,FL
11.0,5.0,50.0,258.0,0.0,0.0,0.0,CA
0.0,15.0,87.0,651.0,0.0,0.0,0.0,CO
54.0,60.0,76.0,551.0,54.0,0.0,0.0,TX
