"DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","ORIGIN","ORIGIN_STATE_ABR","ORIGIN_STATE_NM","DEST","DEST_STATE_ABR","DEST_STATE_NM","DEP_DELAY_NEW","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
6,6,2018-01-06,"BWI","MD","Maryland","FLL","FL","Florida",6.00,1.00,0.00,"",138.00,925.00,,,,,,
6,6,2018-01-06,"DEN","CO","Colorado","ORD","IL","Illinois",0.00,0.00,0.00,"",114.00,888.00,,,,,,
11,4,2018-01-11,"SAT","TX","Texas","DFW","TX","Texas",66.00,48.00,0.00,"",45.00,247.00,0.00,27.00,0.00,0.00,21.00,
16,2,2018-01-16,"SJC","CA","California","SEA","WA","Washington",0.00,0.00,0.00,"",102.00,696.00,,,,,,
5,5,2018-01-05,"IAH","TX","Texas","DFW","TX","Texas",0.00,0.00,0.00,"",41.00,224.00,,,,,,
31,3,2018-01-31,"MSP","MN","Minnesota","OMA","NE","Nebraska",13.00,33.00,0.00,"",51.00,282.00,0.00,13.00,20.00,0.00,0.00,
10,3,2018-01-10,"DHN","AL","Alabama","ATL","GA","Georgia",0.00,0.00,0.00,"",36.00,170.00,,,,,,
24,3,2018-01-24,"DEN","CO","Colorado","SMF","CA","California",0.00,0.00,0.00,"",131.00,909.00,,,,,,
12,5,2018-01-12,"LGA","NY","New York","XNA","AR","Arkansas",0.00,0.00,0.00,"",173.00,1147.00,,,,,,
29,1,2018-01-29,"DEN","CO","Colorado","RSW","FL","Florida",0.00,0.00,0.00,"",177.00,1607.00,,,,,,
11,4,2018-01-11,"LGA","NY","New York","ATL","GA","Georgia",0.00,0.00,0.00,"",122.00,762.00,,,,,,
7,7,2018-01-07,"BIL","MT","Montana","MSP","MN","Minnesota",0.00,0.00,0.00,"",101.00,748.00,,,,,,
8,1,2018-01-08,"BOS","MA","Massachusetts","PHL","PA","Pennsylvania",0.00,0.00,0.00,"",61.00,280.00,,,,,,
22,1,2018-01-22,"DCA","VA","Virginia","HOU","TX","Texas",0.00,1.00,0.00,"",200.00,1218.00,,,,,,
11,4,2018-01-11,"MEM","TN","Tennessee","LAS","NV","Nevada",0.00,0.00,0.00,"",205.00,1416.00,,,,,,
3,3,2018-01-03,"PVD","RI","Rhode Island","MCO","FL","Florida",8.00,10.00,0.00,"",169.00,1072.00,,,,,,
11,4,2018-01-11,"SFO","CA","California","EWR","NJ","New Jersey",9.00,5.00,0.00,"",288.00,2565.00,,,,,,
26,5,2018-01-26,"MIA","FL","Florida","TPA","FL","Florida",0.00,0.00,0.00,"",39.00,204.00,,,,,,
28,7,2018-01-28,"PHX","AZ","Arizona","ELP","TX","Texas",0.00,0.00,0.00,"",57.00,347.00,,,,,,
