"DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","ORIGIN","ORIGIN_STATE_ABR","ORIGIN_STATE_NM","DEST","DEST_STATE_ABR","DEST_STATE_NM","DEP_DELAY_NEW","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2,2,2018-01-02,"MIA","FL","Florida","LGA","NY","New York",0.00,0.00,0.00,"",144.00,1096.00,,,,,,
9,2,2018-01-09,"ATL","GA","Georgia","SJU","PR","Puerto Rico",0.00,0.00,0.00,"",189.00,1547.00,,,,,,
10,3,2018-01-10,"DFW","TX","Texas","PSP","CA","California",0.00,0.00,0.00,"",161.00,1126.00,,,,,,
19,5,2018-01-19,"SMF","CA","California","LAS","NV","Nevada",0.00,0.00,0.00,"",65.00,397.00,,,,,,
9,2,2018-01-09,"LAX","CA","California","MDW","IL","Illinois",9.00,0.00,0.00,"",201.00,1750.00,,,,,,
11,4,2018-01-11,"MCO","FL","Florida","PVD","RI","Rhode Island",0.00,0.00,0.00,"",136.00,1072.00,,,,,,
26,5,2018-01-26,"DCA","VA","Virginia","PIT","PA","Pennsylvania",0.00,0.00,0.00,"",37.00,204.00,,,,,,
26,5,2018-01-26,"PHX","AZ","Arizona","SJC","CA","California",1.00,0.00,0.00,"",97.00,621.00,,,,,,
7,7,2018-01-07,"MTJ","CO","Colorado","LAX","CA","California",15.00,16.00,0.00,"",101.00,666.00,0.00,0.00,1.00,0.00,15.00,
20,6,2018-01-20,"DEN","CO","Colorado","TUS","AZ","Arizona",0.00,3.00,0.00,"",114.00,639.00,,,,,,
6,6,2018-01-06,"ATL","GA","Georgia","HDN","CO","Colorado",0.00,2.00,0.00,"",191.00,1340.00,,,,,,
26,5,2018-01-26,"DAL","TX","Texas","ELP","TX","Texas",6.00,0.00,0.00,"",83.00,562.00,,,,,,
10,3,2018-01-10,"MCO","FL","Florida","ROC","NY","New York",0.00,0.00,0.00,"",128.00,1033.00,,,,,,
24,3,2018-01-24,"LGA","NY","New York","MCI","MO","Missouri",0.00,0.00,0.00,"",181.00,1107.00,,,,,,
22,1,2018-01-22,"DFW","TX","Texas","DEN","CO","Colorado",0.00,7.00,0.00,"",101.00,641.00,,,,,,
26,5,2018-01-26,"TPA","FL","Florida","FLL","FL","Florida",15.00,12.00,0.00,"",40.00,197.00,,,,,,
13,6,2018-01-13,"BOS","MA","Massachusetts","JFK","NY","New York",,,1.00,"C",,187.00,,,,,,
7,7,2018-01-07,"SJC","CA","California","LAX","CA","California",0.00,0.00,0.00,"",55.00,308.00,,,,,,
12,5,2018-01-12,"ROC","NY","New York","LGA","NY","New York",290.00,302.00,0.00,"",52.00,254.00,134.00,0.00,12.00,0.00,156.00,
1,1,2018-01-01,"HOU","TX","Texas","DAL","TX","Texas",2.00,19.00,0.00,"",40.00,239.00,0.00,0.00,19.00,0.00,0.00,
4,4,2018-01-04,"EWR","NJ","New Jersey","IAH","TX","Texas",,,1.00,"B",,1400.00,,,,,,
20,6,2018-01-20,"CLT","NC","North Carolina","MDT","PA","Pennsylvania",34.00,48.00,0.00,"",59.00,413.00,32.00,0.00,14.00,0.00,2.00,
28,7,2018-01-28,"ORD","IL","Illinois","MSP","MN","Minnesota",1.00,0.00,0.00,"",58.00,334.00,,,,,,
13,6,2018-01-13,"DEN","CO","Colorado","GCC","WY","Wyoming",0.00,0.00,0.00,"",55.00,313.00,,,,,,
29,1,2018-01-29,"STL","MO","Missouri","DAL","TX","Texas",0.00,0.00,0.00,"",72.00,546.00,,,,,,
25,4,2018-01-25,"ATL","GA","Georgia","SRQ","FL","Florida",0.00,0.00,0.00,"",67.00,444.00,,,,,,
28,7,2018-01-28,"DTW","MI","Michigan","LEX","KY","Kentucky",17.00,2.00,0.00,"",51.00,296.00,,,,,,
18,4,2018-01-18,"BOS","MA","Massachusetts","ORD","IL","Illinois",0.00,0.00,0.00,"",130.00,867.00,,,,,,
28,7,2018-01-28,"SDF","KY","Kentucky","LGA","NY","New York",0.00,0.00,0.00,"",96.00,659.00,,,,,,
22,1,2018-01-22,"OGG","HI","Hawaii","SFO","CA","California",0.00,0.00,0.00,"",259.00,2338.00,,,,,,
3,3,2018-01-03,"ORD","IL","Illinois","DCA","VA","Virginia",0.00,0.00,0.00,"",82.00,612.00,,,,,,
1,1,2018-01-01,"MIA","FL","Florida","CMH","OH","Ohio",25.00,25.00,0.00,"",142.00,990.00,25.00,0.00,0.00,0.00,0.00,
30,2,2018-01-30,"PHL","PA","Pennsylvania","MCI","MO","Missouri",0.00,4.00,0.00,"",146.00,1038.00,,,,,,
15,1,2018-01-15,"MCO","FL","Florida","EWR","NJ","New Jersey",0.00,0.00,0.00,"",122.00,937.00,,,,,,
12,5,2018-01-12,"IND","IN","Indiana","LGA","NY","New York",222.00,291.00,0.00,"",93.00,660.00,0.00,222.00,69.00,0.00,0.00,
26,5,2018-01-26,"STL","MO","Missouri","PDX","OR","Oregon",1.00,0.00,0.00,"",242.00,1708.00,,,,,,
8,1,2018-01-08,"BHM","AL","Alabama","MDW","IL","Illinois",0.00,0.00,0.00,"",95.00,570.00,,,,,,
7,7,2018-01-07,"DEN","CO","Colorado","PHX","AZ","Arizona",0.00,0.00,0.00,"",84.00,602.00,,,,,,
13,6,2018-01-13,"ORD","IL","Illinois","LSE","WI","Wisconsin",91.00,88.00,0.00,"",43.00,215.00,27.00,0.00,0.00,0.00,61.00,
24,3,2018-01-24,"STL","MO","Missouri","ORD","IL","Illinois",0.00,0.00,0.00,"",53.00,258.00,,,,,,
25,4,2018-01-25,"CVG","KY","Kentucky","DFW","TX","Texas",0.00,0.00,0.00,"",114.00,812.00,,,,,,
20,6,2018-01-20,"ATL","GA","Georgia","IAD","VA","Virginia",0.00,0.00,0.00,"",83.00,534.00,,,,,,
21,7,2018-01-21,"JFK","NY","New York","DTW","MI","Michigan",0.00,0.00,0.00,"",89.00,509.00,,,,,,
1,1,2018-01-01,"EWR","NJ","New Jersey","FLL","FL","Florida",12.00,28.00,0.00,"",158.00,1065.00,3.00,0.00,25.00,0.00,0.00,
26,5,2018-01-26,"LAS","NV","Nevada","SJC","CA","California",0.00,0.00,0.00,"",68.00,386.00,,,,,,
28,7,2018-01-28,"DEN","CO","Colorado","BOI","ID","Idaho",0.00,0.00,0.00,"",100.00,649.00,,,,,,
28,7,2018-01-28,"OAJ","NC","North Carolina","CLT","NC","North Carolina",237.00,238.00,0.00,"",46.00,191.00,237.00,0.00,1.00,0.00,0.00,
4,4,2018-01-04,"ORD","IL","Illinois","JAC","WY","Wyoming",26.00,10.00,0.00,"",155.00,1162.00,,,,,,
27,6,2018-01-27,"SJC","CA","California","SEA","WA","Washington",2.00,0.00,0.00,"",106.00,696.00,,,,,,
31,3,2018-01-31,"MCO","FL","Florida","ATL","GA","Georgia",0.00,0.00,0.00,"",64.00,404.00,,,,,,
4,4,2018-01-04,"LAX","CA","California","SFO","CA","California",22.00,3.00,0.00,"",54.00,337.00,,,,,,
15,1,2018-01-15,"ATL","GA","Georgia","CVG","KY","Kentucky",0.00,0.00,0.00,"",58.00,373.00,,,,,,
24,3,2018-01-24,"DCA","VA","Virginia","ATL","GA","Georgia",0.00,0.00,0.00,"",97.00,547.00,,,,,,
25,4,2018-01-25,"MIA","FL","Florida","SJU","PR","Puerto Rico",0.00,0.00,0.00,"",124.00,1045.00,,,,,,
8,1,2018-01-08,"JAN","MS","Mississippi","IAH","TX","Texas",0.00,0.00,0.00,"",55.00,351.00,,,,,,
26,5,2018-01-26,"BWI","MD","Maryland","RDU","NC","North Carolina",0.00,0.00,0.00,"",47.00,255.00,,,,,,
25,4,2018-01-25,"ATL","GA","Georgia","MEM","TN","Tennessee",0.00,0.00,0.00,"",61.00,332.00,,,,,,
17,3,2018-01-17,"DFW","TX","Texas","LGA","NY","New York",0.00,0.00,0.00,"",175.00,1389.00,,,,,,
3,3,2018-01-03,"DEN","CO","Colorado","BIL","MT","Montana",6.00,9.00,0.00,"",70.00,455.00,,,,,,
30,2,2018-01-30,"LAS","NV","Nevada","CLE","OH","Ohio",0.00,0.00,0.00,"",221.00,1824.00,,,,,,
26,5,2018-01-26,"ROC","NY","New York","PHL","PA","Pennsylvania",0.00,24.00,0.00,"",62.00,257.00,0.00,0.00,24.00,0.00,0.00,
22,1,2018-01-22,"TPA","FL","Florida","ALB","NY","New York",0.00,0.00,0.00,"",139.00,1130.00,,,,,,
8,1,2018-01-08,"FLL","FL","Florida","MEM","TN","Tennessee",20.00,0.00,0.00,"",124.00,851.00,,,,,,
5,5,2018-01-05,"DBQ","IA","Iowa","ORD","IL","Illinois",6.00,12.00,0.00,"",38.00,147.00,,,,,,
6,6,2018-01-06,"PWM","ME","Maine","JFK","NY","New York",578.00,557.00,0.00,"",47.00,273.00,13.00,0.00,0.00,0.00,544.00,
31,3,2018-01-31,"TUS","AZ","Arizona","DFW","TX","Texas",0.00,0.00,0.00,"",106.00,813.00,,,,,,
21,7,2018-01-21,"IAH","TX","Texas","BHM","AL","Alabama",0.00,0.00,0.00,"",78.00,562.00,,,,,,
12,5,2018-01-12,"BWI","MD","Maryland","CLT","NC","North Carolina",13.00,25.00,0.00,"",68.00,361.00,13.00,0.00,12.00,0.00,0.00,
31,3,2018-01-31,"IAH","TX","Texas","ATL","GA","Georgia",0.00,0.00,0.00,"",89.00,689.00,,,,,,
29,1,2018-01-29,"MSY","LA","Louisiana","SAT","TX","Texas",0.00,0.00,0.00,"",80.00,494.00,,,,,,
30,2,2018-01-30,"IAH","TX","Texas","MSP","MN","Minnesota",0.00,0.00,0.00,"",144.00,1034.00,,,,,,
26,5,2018-01-26,"SDF","KY","Kentucky","DCA","VA","Virginia",0.00,0.00,0.00,"",65.00,474.00,,,,,,
17,3,2018-01-17,"DFW","TX","Texas","LAX","CA","California",0.00,0.00,0.00,"",165.00,1235.00,,,,,,
19,5,2018-01-19,"DCA","VA","Virginia","EWR","NJ","New Jersey",20.00,64.00,0.00,"",55.00,199.00,20.00,0.00,44.00,0.00,0.00,
22,1,2018-01-22,"HSV","AL","Alabama","ATL","GA","Georgia",0.00,11.00,0.00,"",35.00,151.00,,,,,,
4,4,2018-01-04,"DEN","CO","Colorado","SEA","WA","Washington",30.00,7.00,0.00,"",145.00,1024.00,,,,,,
7,7,2018-01-07,"EWR","NJ","New Jersey","DCA","VA","Virginia",0.00,3.00,0.00,"",52.00,199.00,,,,,,
23,2,2018-01-23,"BUR","CA","California","SMF","CA","California",0.00,0.00,0.00,"",56.00,358.00,,,,,,
18,4,2018-01-18,"CHO","VA","Virginia","CLT","NC","North Carolina",,,1.00,"B",,245.00,,,,,,
1,1,2018-01-01,"LIH","HI","Hawaii","LAX","CA","California",104.00,107.00,0.00,"",306.00,2615.00,0.00,0.00,3.00,0.00,104.00,
7,7,2018-01-07,"OAK","CA","California","BUR","CA","California",0.00,0.00,0.00,"",53.00,325.00,,,,,,
7,7,2018-01-07,"CMH","OH","Ohio","ORD","IL","Illinois",0.00,0.00,0.00,"",53.00,296.00,,,,,,
11,4,2018-01-11,"TPA","FL","Florida","ORD","IL","Illinois",0.00,0.00,0.00,"",128.00,1012.00,,,,,,
29,1,2018-01-29,"MSP","MN","Minnesota","LNK","NE","Nebraska",0.00,0.00,0.00,"",49.00,331.00,,,,,,
25,4,2018-01-25,"DFW","TX","Texas","SAN","CA","California",0.00,0.00,0.00,"",167.00,1171.00,,,,,,
2,2,2018-01-02,"RSW","FL","Florida","PHL","PA","Pennsylvania",48.00,27.00,0.00,"",124.00,993.00,27.00,0.00,0.00,0.00,0.00,
19,5,2018-01-19,"MCO","FL","Florida","BOS","MA","Massachusetts",0.00,0.00,0.00,"",145.00,1121.00,,,,,,
4,4,2018-01-04,"GEG","WA","Washington","SMF","CA","California",1.00,0.00,0.00,"",94.00,649.00,,,,,,
7,7,2018-01-07,"CHS","SC","South Carolina","MDW","IL","Illinois",,,1.00,"B",,745.00,,,,,,
10,3,2018-01-10,"DEN","CO","Colorado","JMS","ND","North Dakota",0.00,0.00,0.00,"",78.00,573.00,,,,,,
15,1,2018-01-15,"MCO","FL","Florida","DCA","VA","Virginia",0.00,0.00,0.00,"",97.00,759.00,,,,,,
22,1,2018-01-22,"CLT","NC","North Carolina","CLE","OH","Ohio",0.00,0.00,0.00,"",62.00,430.00,,,,,,
18,4,2018-01-18,"STL","MO","Missouri","FLL","FL","Florida",36.00,44.00,0.00,"",148.00,1057.00,36.00,0.00,8.00,0.00,0.00,
30,2,2018-01-30,"DFW","TX","Texas","LAX","CA","California",16.00,2.00,0.00,"",160.00,1235.00,,,,,,
12,5,2018-01-12,"PHX","AZ","Arizona","LAX","CA","California",103.00,88.00,0.00,"",55.00,370.00,85.00,0.00,0.00,0.00,3.00,
1,1,2018-01-01,"CLT","NC","North Carolina","ATL","GA","Georgia",0.00,2.00,0.00,"",49.00,226.00,,,,,,
12,5,2018-01-12,"LGA","NY","New York","ORD","IL","Illinois",,,1.00,"B",,733.00,,,,,,
28,7,2018-01-28,"IND","IN","Indiana","CLT","NC","North Carolina",0.00,0.00,0.00,"",72.00,427.00,,,,,,
13,6,2018-01-13,"RDU","NC","North Carolina","STL","MO","Missouri",0.00,0.00,0.00,"",105.00,667.00,,,,,,
23,2,2018-01-23,"ATL","GA","Georgia","FLL","FL","Florida",0.00,0.00,0.00,"",86.00,581.00,,,,,,
12,5,2018-01-12,"TPA","FL","Florida","PHL","PA","Pennsylvania",0.00,0.00,0.00,"",119.00,920.00,,,,,,
10,3,2018-01-10,"BUR","CA","California","LAS","NV","Nevada",6.00,5.00,0.00,"",45.00,223.00,,,,,,
9,2,2018-01-09,"MDW","IL","Illinois","DTW","MI","Michigan",0.00,0.00,0.00,"",42.00,228.00,,,,,,
21,7,2018-01-21,"EWR","NJ","New Jersey","PIT","PA","Pennsylvania",0.00,0.00,0.00,"",58.00,319.00,,,,,,
7,7,2018-01-07,"CID","IA","Iowa","ORD","IL","Illinois",125.00,137.00,0.00,"",67.00,196.00,0.00,0.00,27.00,0.00,110.00,
1,1,2018-01-01,"LAS","NV","Nevada","CLE","OH","Ohio",0.00,0.00,0.00,"",221.00,1824.00,,,,,,
8,1,2018-01-08,"DFW","TX","Texas","TYR","TX","Texas",0.00,0.00,0.00,"",23.00,102.00,,,,,,
10,3,2018-01-10,"CLT","NC","North Carolina","ORD","IL","Illinois",0.00,0.00,0.00,"",95.00,599.00,,,,,,
4,4,2018-01-04,"CHS","SC","South Carolina","CLT","NC","North Carolina",,,1.00,"B",,168.00,,,,,,
3,3,2018-01-03,"LAX","CA","California","MSP","MN","Minnesota",22.00,0.00,0.00,"",182.00,1535.00,,,,,,
22,1,2018-01-22,"MSY","LA","Louisiana","DFW","TX","Texas",0.00,0.00,0.00,"",73.00,447.00,,,,,,
19,5,2018-01-19,"BWI","MD","Maryland","PVD","RI","Rhode Island",2.00,0.00,0.00,"",52.00,327.00,,,,,,
25,4,2018-01-25,"SLC","UT","Utah","BZN","MT","Montana",0.00,0.00,0.00,"",55.00,347.00,,,,,,
1,1,2018-01-01,"COS","CO","Colorado","DEN","CO","Colorado",,,1.00,"A",,73.00,,,,,,
28,7,2018-01-28,"PBI","FL","Florida","ATL","GA","Georgia",37.00,44.00,0.00,"",79.00,545.00,7.00,0.00,7.00,0.00,30.00,
24,3,2018-01-24,"BOS","MA","Massachusetts","CLE","OH","Ohio",0.00,0.00,0.00,"",91.00,563.00,,,,,,
31,3,2018-01-31,"LGA","NY","New York","CMH","OH","Ohio",10.00,3.00,0.00,"",86.00,479.00,,,,,,
18,4,2018-01-18,"PIT","PA","Pennsylvania","MSP","MN","Minnesota",58.00,38.00,0.00,"",110.00,726.00,38.00,0.00,0.00,0.00,0.00,
21,7,2018-01-21,"MCO","FL","Florida","BHM","AL","Alabama",2.00,0.00,0.00,"",77.00,479.00,,,,,,
1,1,2018-01-01,"ATL","GA","Georgia","MYR","SC","South Carolina",0.00,21.00,0.00,"",44.00,317.00,0.00,0.00,21.00,0.00,0.00,
13,6,2018-01-13,"ORD","IL","Illinois","EWR","NJ","New Jersey",0.00,0.00,0.00,"",99.00,719.00,,,,,,
9,2,2018-01-09,"HOU","TX","Texas","MSY","LA","Louisiana",0.00,0.00,0.00,"",45.00,302.00,,,,,,
17,3,2018-01-17,"BOS","MA","Massachusetts","FLL","FL","Florida",0.00,6.00,0.00,"",196.00,1237.00,,,,,,
22,1,2018-01-22,"EWR","NJ","New Jersey","ATL","GA","Georgia",39.00,25.00,0.00,"",115.00,746.00,0.00,0.00,0.00,0.00,25.00,
3,3,2018-01-03,"PHX","AZ","Arizona","ABQ","NM","New Mexico",0.00,0.00,0.00,"",44.00,328.00,,,,,,
1,1,2018-01-01,"ORD","IL","Illinois","CLT","NC","North Carolina",0.00,0.00,0.00,"",83.00,599.00,,,,,,
18,4,2018-01-18,"ATL","GA","Georgia","MCI","MO","Missouri",42.00,16.00,0.00,"",100.00,692.00,2.00,0.00,0.00,0.00,14.00,
7,7,2018-01-07,"SAT","TX","Texas","BNA","TN","Tennessee",15.00,4.00,0.00,"",103.00,822.00,,,,,,
11,4,2018-01-11,"CVG","KY","Kentucky","STL","MO","Missouri",0.00,0.00,0.00,"",55.00,308.00,,,,,,
3,3,2018-01-03,"DFW","TX","Texas","BHM","AL","Alabama",0.00,0.00,0.00,"",73.00,597.00,,,,,,
23,2,2018-01-23,"SAN","CA","California","MCI","MO","Missouri",0.00,3.00,0.00,"",169.00,1334.00,,,,,,
13,6,2018-01-13,"STL","MO","Missouri","CLT","NC","North Carolina",30.00,32.00,0.00,"",82.00,575.00,0.00,0.00,2.00,0.00,30.00,
22,1,2018-01-22,"DTW","MI","Michigan","PHX","AZ","Arizona",0.00,0.00,0.00,"",223.00,1671.00,,,,,,
8,1,2018-01-08,"STL","MO","Missouri","DEN","CO","Colorado",0.00,0.00,0.00,"",109.00,770.00,,,,,,
7,7,2018-01-07,"LAS","NV","Nevada","MSP","MN","Minnesota",0.00,4.00,0.00,"",163.00,1299.00,,,,,,
6,6,2018-01-06,"LAS","NV","Nevada","SFO","CA","California",0.00,0.00,0.00,"",73.00,414.00,,,,,,
12,5,2018-01-12,"ABQ","NM","New Mexico","DFW","TX","Texas",0.00,0.00,0.00,"",76.00,569.00,,,,,,
26,5,2018-01-26,"ORD","IL","Illinois","LGA","NY","New York",0.00,0.00,0.00,"",97.00,733.00,,,,,,
29,1,2018-01-29,"DSM","IA","Iowa","DTW","MI","Michigan",112.00,124.00,0.00,"",91.00,533.00,0.00,0.00,12.00,0.00,112.00,
17,3,2018-01-17,"HNL","HI","Hawaii","KOA","HI","Hawaii",0.00,0.00,0.00,"",28.00,163.00,,,,,,
18,4,2018-01-18,"ROC","NY","New York","LGA","NY","New York",0.00,0.00,0.00,"",45.00,254.00,,,,,,
18,4,2018-01-18,"IAH","TX","Texas","PHX","AZ","Arizona",87.00,56.00,0.00,"",133.00,1009.00,56.00,0.00,0.00,0.00,0.00,
18,4,2018-01-18,"PBG","NY","New York","FLL","FL","Florida",1.00,0.00,0.00,"",174.00,1334.00,,,,,,
15,1,2018-01-15,"BWI","MD","Maryland","PBI","FL","Florida",0.00,0.00,0.00,"",124.00,883.00,,,,,,
27,6,2018-01-27,"BWI","MD","Maryland","FLL","FL","Florida",0.00,0.00,0.00,"",129.00,925.00,,,,,,
8,1,2018-01-08,"IAH","TX","Texas","ECP","FL","Florida",0.00,14.00,0.00,"",83.00,572.00,,,,,,
10,3,2018-01-10,"LAX","CA","California","SGF","MO","Missouri",5.00,0.00,0.00,"",156.00,1423.00,,,,,,
20,6,2018-01-20,"LAX","CA","California","DEN","CO","Colorado",0.00,0.00,0.00,"",111.00,862.00,,,,,,
31,3,2018-01-31,"ATL","GA","Georgia","ECP","FL","Florida",0.00,0.00,0.00,"",43.00,240.00,,,,,,
5,5,2018-01-05,"OAK","CA","California","ONT","CA","California",0.00,0.00,0.00,"",51.00,362.00,,,,,,
1,1,2018-01-01,"DTW","MI","Michigan","PHX","AZ","Arizona",8.00,0.00,0.00,"",236.00,1671.00,,,,,,
31,3,2018-01-31,"MSP","MN","Minnesota","ORD","IL","Illinois",8.00,0.00,0.00,"",51.00,334.00,,,,,,
2,2,2018-01-02,"LAS","NV","Nevada","GRI","NE","Nebraska",0.00,0.00,0.00,"",118.00,971.00,,,,,,
12,5,2018-01-12,"CMH","OH","Ohio","DCA","VA","Virginia",121.00,,1.00,"B",,323.00,,,,,,
3,3,2018-01-03,"DFW","TX","Texas","ORD","IL","Illinois",16.00,21.00,0.00,"",120.00,802.00,16.00,0.00,5.00,0.00,0.00,
4,4,2018-01-04,"MCI","MO","Missouri","DEN","CO","Colorado",12.00,1.00,0.00,"",83.00,533.00,,,,,,
3,3,2018-01-03,"SFO","CA","California","SEA","WA","Washington",9.00,0.00,0.00,"",93.00,679.00,,,,,,
16,2,2018-01-16,"DFW","TX","Texas","SLC","UT","Utah",23.00,21.00,0.00,"",139.00,989.00,9.00,0.00,0.00,0.00,12.00,
2,2,2018-01-02,"SFO","CA","California","LAX","CA","California",0.00,2.00,0.00,"",59.00,337.00,,,,,,
11,4,2018-01-11,"COS","CO","Colorado","IAH","TX","Texas",0.00,0.00,0.00,"",102.00,809.00,,,,,,
18,4,2018-01-18,"SFO","CA","California","JFK","NY","New York",0.00,0.00,0.00,"",294.00,2586.00,,,,,,
15,1,2018-01-15,"BOS","MA","Massachusetts","RSW","FL","Florida",0.00,15.00,0.00,"",197.00,1249.00,0.00,0.00,15.00,0.00,0.00,
1,1,2018-01-01,"EWR","NJ","New Jersey","SAN","CA","California",0.00,0.00,0.00,"",336.00,2425.00,,,,,,
9,2,2018-01-09,"MIA","FL","Florida","DCA","VA","Virginia",0.00,0.00,0.00,"",143.00,919.00,,,,,,
21,7,2018-01-21,"DEN","CO","Colorado","PDX","OR","Oregon",,,1.00,"B",,991.00,,,,,,
2,2,2018-01-02,"CMH","OH","Ohio","MDW","IL","Illinois",11.00,24.00,0.00,"",52.00,283.00,5.00,0.00,13.00,0.00,6.00,
9,2,2018-01-09,"JFK","NY","New York","HNL","HI","Hawaii",22.00,31.00,0.00,"",674.00,4983.00,31.00,0.00,0.00,0.00,0.00,
31,3,2018-01-31,"FLL","FL","Florida","ATL","GA","Georgia",0.00,0.00,0.00,"",89.00,581.00,,,,,,
28,7,2018-01-28,"MQT","MI","Michigan","ORD","IL","Illinois",0.00,6.00,0.00,"",55.00,303.00,,,,,,
9,2,2018-01-09,"BHM","AL","Alabama","ATL","GA","Georgia",8.00,0.00,0.00,"",36.00,134.00,,,,,,
27,6,2018-01-27,"PDX","OR","Oregon","LGB","CA","California",0.00,0.00,0.00,"",111.00,846.00,,,,,,
15,1,2018-01-15,"DFW","TX","Texas","DEN","CO","Colorado",9.00,17.00,0.00,"",102.00,641.00,9.00,0.00,8.00,0.00,0.00,
23,2,2018-01-23,"MIA","FL","Florida","ATL","GA","Georgia",0.00,0.00,0.00,"",84.00,594.00,,,,,,
27,6,2018-01-27,"EWR","NJ","New Jersey","DCA","VA","Virginia",0.00,0.00,0.00,"",43.00,199.00,,,,,,
31,3,2018-01-31,"SAN","CA","California","SAT","TX","Texas",0.00,0.00,0.00,"",138.00,1129.00,,,,,,
22,1,2018-01-22,"IAH","TX","Texas","LBB","TX","Texas",0.00,0.00,0.00,"",77.00,458.00,,,,,,
11,4,2018-01-11,"DFW","TX","Texas","DSM","IA","Iowa",0.00,0.00,0.00,"",81.00,624.00,,,,,,
1,1,2018-01-01,"MIA","FL","Florida","ATL","GA","Georgia",21.00,5.00,0.00,"",87.00,594.00,,,,,,
20,6,2018-01-20,"SLC","UT","Utah","MCO","FL","Florida",0.00,0.00,0.00,"",226.00,1931.00,,,,,,
3,3,2018-01-03,"MIA","FL","Florida","TPA","FL","Florida",0.00,0.00,0.00,"",39.00,204.00,,,,,,
11,4,2018-01-11,"ATL","GA","Georgia","SAV","GA","Georgia",0.00,0.00,0.00,"",36.00,214.00,,,,,,
24,3,2018-01-24,"DFW","TX","Texas","PHL","PA","Pennsylvania",0.00,0.00,0.00,"",150.00,1303.00,,,,,,
27,6,2018-01-27,"RDU","NC","North Carolina","ATL","GA","Georgia",0.00,8.00,0.00,"",67.00,356.00,,,,,,
2,2,2018-01-02,"DFW","TX","Texas","SFO","CA","California",4.00,5.00,0.00,"",223.00,1464.00,,,,,,
4,4,2018-01-04,"TUS","AZ","Arizona","PHX","AZ","Arizona",0.00,0.00,0.00,"",31.00,110.00,,,,,,
2,2,2018-01-02,"DFW","TX","Texas","LGA","NY","New York",87.00,85.00,0.00,"",164.00,1389.00,85.00,0.00,0.00,0.00,0.00,
23,2,2018-01-23,"LGB","CA","California","OAK","CA","California",0.00,0.00,0.00,"",55.00,353.00,,,,,,
17,3,2018-01-17,"DFW","TX","Texas","BDL","CT","Connecticut",0.00,6.00,0.00,"",183.00,1471.00,,,,,,
4,4,2018-01-04,"KOA","HI","Hawaii","LAX","CA","California",17.00,46.00,0.00,"",307.00,2504.00,17.00,0.00,29.00,0.00,0.00,
27,6,2018-01-27,"ORD","IL","Illinois","OMA","NE","Nebraska",19.00,7.00,0.00,"",72.00,416.00,,,,,,
10,3,2018-01-10,"SFO","CA","California","MSY","LA","Louisiana",0.00,0.00,0.00,"",212.00,1911.00,,,,,,
17,3,2018-01-17,"EWR","NJ","New Jersey","SFO","CA","California",15.00,0.00,0.00,"",330.00,2565.00,,,,,,
29,1,2018-01-29,"SAT","TX","Texas","HOU","TX","Texas",0.00,0.00,0.00,"",35.00,192.00,,,,,,
22,1,2018-01-22,"IND","IN","Indiana","LGA","NY","New York",28.00,12.00,0.00,"",87.00,660.00,,,,,,
8,1,2018-01-08,"SAN","CA","California","LAS","NV","Nevada",0.00,0.00,0.00,"",49.00,258.00,,,,,,
28,7,2018-01-28,"JFK","NY","New York","SEA","WA","Washington",0.00,0.00,0.00,"",357.00,2422.00,,,,,,
23,2,2018-01-23,"BOS","MA","Massachusetts","STL","MO","Missouri",0.00,0.00,0.00,"",162.00,1047.00,,,,,,
11,4,2018-01-11,"ORD","IL","Illinois","STL","MO","Missouri",0.00,0.00,0.00,"",48.00,258.00,,,,,,
18,4,2018-01-18,"ASE","CO","Colorado","IAH","TX","Texas",0.00,0.00,0.00,"",139.00,913.00,,,,,,
24,3,2018-01-24,"MIA","FL","Florida","PIT","PA","Pennsylvania",0.00,0.00,0.00,"",133.00,1013.00,,,,,,
29,1,2018-01-29,"IAH","TX","Texas","ORD","IL","Illinois",0.00,3.00,0.00,"",135.00,925.00,,,,,,
16,2,2018-01-16,"SFO","CA","California","AUS","TX","Texas",0.00,21.00,0.00,"",195.00,1504.00,0.00,0.00,21.00,0.00,0.00,
23,2,2018-01-23,"IND","IN","Indiana","EWR","NJ","New Jersey",0.00,0.00,0.00,"",90.00,645.00,,,,,,
22,1,2018-01-22,"MDW","IL","Illinois","CMH","OH","Ohio",0.00,0.00,0.00,"",46.00,283.00,,,,,,
2,2,2018-01-02,"PHL","PA","Pennsylvania","IAH","TX","Texas",0.00,0.00,0.00,"",197.00,1325.00,,,,,,
6,6,2018-01-06,"ATL","GA","Georgia","LAS","NV","Nevada",8.00,0.00,0.00,"",252.00,1747.00,,,,,,
30,2,2018-01-30,"AUS","TX","Texas","ATL","GA","Georgia",0.00,0.00,0.00,"",102.00,813.00,,,,,,
23,2,2018-01-23,"OKC","OK","Oklahoma","SEA","WA","Washington",0.00,0.00,0.00,"",247.00,1519.00,,,,,,
30,2,2018-01-30,"RDU","NC","North Carolina","SEA","WA","Washington",46.00,66.00,0.00,"",367.00,2354.00,0.00,0.00,20.00,0.00,46.00,
