P1	P2	A	D
5.802045077880010338e-01	7.541693118149139785e-01	3.600000000000000000e+01	1.600000000000000000e+01
-6.082908055910667411e-01	-1.153707660669876844e+00	0.000000000000000000e+00	1.300000000000000000e+01
-1.024802312938186688e+00	-5.535536906567255500e-01	0.000000000000000000e+00	1.000000000000000000e+00
7.764172985445142450e-01	-1.014248017367355148e+00	2.700000000000000000e+01	2.100000000000000000e+01
-7.563628683257568319e-01	-9.059878894480288825e-01	2.000000000000000000e+00	7.000000000000000000e+00
-1.213543025903089490e+00	1.744707256079259527e-01	1.000000000000000000e+00	0.000000000000000000e+00
1.908954642952063852e+00	8.507707661001076005e-01	7.000000000000000000e+01	5.100000000000000000e+01
-7.685683252878822147e-01	-1.287130987783259073e+00	0.000000000000000000e+00	4.000000000000000000e+00
-1.074522323973766458e+00	5.159900402565177624e-03	5.000000000000000000e+00	0.000000000000000000e+00
-8.723544975392619749e-01	-8.945887919121903176e-01	0.000000000000000000e+00	4.000000000000000000e+00
2.380776626053167089e+00	2.664525947057423405e-01	5.700000000000000000e+01	5.000000000000000000e+01
-6.623186853378781880e-01	-7.088568493060499742e-01	1.100000000000000000e+01	4.000000000000000000e+00
-6.932137350050467939e-01	-1.003420846323778814e+00	0.000000000000000000e+00	1.100000000000000000e+01
1.234404892063857950e+00	3.579516714465181410e-02	3.200000000000000000e+01	4.300000000000000000e+01
-1.449977251368185671e+00	1.064358273508235753e+00	0.000000000000000000e+00	1.000000000000000000e+00
2.942793213830426691e+00	-6.792804735114197356e-01	8.800000000000000000e+01	7.900000000000000000e+01
-6.188852915080484962e-01	-1.440004824372609127e+00	2.000000000000000000e+00	7.000000000000000000e+00
4.676005147953719576e-01	1.507576118659268161e-01	1.800000000000000000e+01	3.900000000000000000e+01
-1.683850258965639224e+00	3.309549080857332015e+00	5.000000000000000000e+00	1.200000000000000000e+01
-7.060895707198174831e-01	-1.416745269226421966e+00	5.000000000000000000e+00	0.000000000000000000e+00
-7.380262755903900240e-01	-1.663354994652024299e+00	0.000000000000000000e+00	1.000000000000000000e+00
-4.566729384382229862e-01	-1.385185599705326398e+00	4.000000000000000000e+00	1.300000000000000000e+01
4.065104091533826569e+00	2.543414627655518068e-01	8.500000000000000000e+01	6.800000000000000000e+01
1.199135786428304096e+00	-1.574887941229979216e+00	2.400000000000000000e+01	3.900000000000000000e+01
-6.596946432342943867e-01	-1.775747240724198761e+00	3.000000000000000000e+00	0.000000000000000000e+00
1.885753432407249464e-01	-9.979830021910855997e-01	1.700000000000000000e+01	1.600000000000000000e+01
-1.124065219273711946e+00	1.612798365316796767e+00	8.000000000000000000e+00	1.400000000000000000e+01
1.027528507422058590e+00	9.013402578639936880e-02	2.400000000000000000e+01	5.100000000000000000e+01
-7.063421490180207263e-01	-1.207386138025308586e+00	0.000000000000000000e+00	8.000000000000000000e+00
-9.327958934184019668e-01	1.802728777389605241e+00	1.100000000000000000e+01	2.200000000000000000e+01
1.324598134053293519e+00	-6.375372507844179193e-01	3.200000000000000000e+01	3.900000000000000000e+01
-1.174562190247938176e+00	3.231474360061283413e+00	0.000000000000000000e+00	4.000000000000000000e+01
-3.985938896419431443e-01	6.948865509549477792e-01	1.600000000000000000e+01	1.100000000000000000e+01
1.851312076878613155e-01	-9.880545100581197282e-01	1.500000000000000000e+01	2.200000000000000000e+01
